 f(k = 1, q = 1) = 1  f(k = 2, q = 1) = 0  f(k = 3, q = 1) = 0  f(k = 4, q = 1) = 0  f(k = 5, q = 1) = 0  f(k = 6, q = 1) = 0  f(k = 7, q = 1) = 0  f(k = 8, q = 1) = 0  f(k = 9, q = 1) = 0  f(k = 10, q = 1) = 0 
 f(k = 1, q = 2) = 2  f(k = 2, q = 2) = 0  f(k = 3, q = 2) = 0  f(k = 4, q = 2) = 0  f(k = 5, q = 2) = 0  f(k = 6, q = 2) = 0  f(k = 7, q = 2) = 0  f(k = 8, q = 2) = 0  f(k = 9, q = 2) = 0  f(k = 10, q = 2) = 0 
 f(k = 1, q = 3) = 3  f(k = 2, q = 3) = 1  f(k = 3, q = 3) = 0  f(k = 4, q = 3) = 0  f(k = 5, q = 3) = 0  f(k = 6, q = 3) = 0  f(k = 7, q = 3) = 0  f(k = 8, q = 3) = 0  f(k = 9, q = 3) = 0  f(k = 10, q = 3) = 0 
 f(k = 1, q = 4) = 4  f(k = 2, q = 4) = 3  f(k = 3, q = 4) = 0  f(k = 4, q = 4) = 0  f(k = 5, q = 4) = 0  f(k = 6, q = 4) = 0  f(k = 7, q = 4) = 0  f(k = 8, q = 4) = 0  f(k = 9, q = 4) = 0  f(k = 10, q = 4) = 0 
 f(k = 1, q = 5) = 5  f(k = 2, q = 5) = 6  f(k = 3, q = 5) = 1  f(k = 4, q = 5) = 0  f(k = 5, q = 5) = 0  f(k = 6, q = 5) = 0  f(k = 7, q = 5) = 0  f(k = 8, q = 5) = 0  f(k = 9, q = 5) = 0  f(k = 10, q = 5) = 0 
 f(k = 1, q = 6) = 6  f(k = 2, q = 6) = 10  f(k = 3, q = 6) = 4  f(k = 4, q = 6) = 0  f(k = 5, q = 6) = 0  f(k = 6, q = 6) = 0  f(k = 7, q = 6) = 0  f(k = 8, q = 6) = 0  f(k = 9, q = 6) = 0  f(k = 10, q = 6) = 0 
 f(k = 1, q = 7) = 7  f(k = 2, q = 7) = 15  f(k = 3, q = 7) = 10  f(k = 4, q = 7) = 1  f(k = 5, q = 7) = 0  f(k = 6, q = 7) = 0  f(k = 7, q = 7) = 0  f(k = 8, q = 7) = 0  f(k = 9, q = 7) = 0  f(k = 10, q = 7) = 0 
 f(k = 1, q = 8) = 8  f(k = 2, q = 8) = 21  f(k = 3, q = 8) = 20  f(k = 4, q = 8) = 5  f(k = 5, q = 8) = 0  f(k = 6, q = 8) = 0  f(k = 7, q = 8) = 0  f(k = 8, q = 8) = 0  f(k = 9, q = 8) = 0  f(k = 10, q = 8) = 0 
 f(k = 1, q = 9) = 9  f(k = 2, q = 9) = 28  f(k = 3, q = 9) = 35  f(k = 4, q = 9) = 15  f(k = 5, q = 9) = 1  f(k = 6, q = 9) = 0  f(k = 7, q = 9) = 0  f(k = 8, q = 9) = 0  f(k = 9, q = 9) = 0  f(k = 10, q = 9) = 0 
 f(k = 1, q = 10) = 10  f(k = 2, q = 10) = 36  f(k = 3, q = 10) = 56  f(k = 4, q = 10) = 35  f(k = 5, q = 10) = 6  f(k = 6, q = 10) = 0  f(k = 7, q = 10) = 0  f(k = 8, q = 10) = 0  f(k = 9, q = 10) = 0  f(k = 10, q = 10) = 0 
